time, Vca,
48.850173, 1.645166,
48.855610, 1.648389,
48.861051, 1.645166,
48.866545, 1.645166,
48.872048, 1.647583,
48.877501, 1.641943,
48.882924, 1.645972,
48.888435, 1.647583,
48.893869, 1.647583,
48.899297, 1.645166,
48.904745, 1.641943,
48.910189, 1.647583,
48.915732, 1.645972,
48.921220, 1.641943,
48.926719, 1.644360,
48.932143, 1.645972,
48.937575, 1.647583,
48.943087, 1.647583,
48.948533, 1.645972,
48.953946, 1.648389,
48.959301, 1.652417,
48.964764, 1.643555,
48.970190, 1.641138,
48.975716, 1.647583,
48.981140, 1.648389,
48.986587, 1.643555,
48.992160, 1.645166,
48.997605, 1.645972,
49.003023, 1.648389,
49.008484, 1.647583,
49.014008, 1.644360,
49.019549, 1.647583,
49.025000, 1.645166,
49.030451, 1.644360,
49.035866, 1.648389,
49.041386, 1.645166,
49.046819, 1.644360,
49.052279, 1.647583,
49.057740, 1.645972,
49.063169, 1.648389,
49.068612, 1.656445,
49.074145, 1.658057,
49.079583, 1.654834,
49.085011, 1.654834,
49.090567, 1.654834,
49.096016, 1.654834,
49.101449, 1.652417,
49.106856, 1.654028,
49.112281, 1.658057,
49.117794, 1.654834,
49.123398, 1.650806,
49.128790, 1.654028,
49.134183, 1.654834,
49.139714, 1.653223,
49.145144, 1.656445,
49.150618, 1.654028,
49.156039, 1.654834,
49.161505, 1.654834,
49.167009, 1.650000,
49.172531, 1.649194,
49.178007, 1.654028,
49.183444, 1.654834,
49.189016, 1.652417,
49.194505, 1.654028,
49.199942, 1.653223,
49.205396, 1.654028,
49.210813, 1.654028,
49.216301, 1.653223,
49.221818, 1.648389,
49.227246, 1.650806,
49.232636, 1.649194,
49.238007, 1.653223,
49.243527, 1.650000,
49.248999, 1.650000,
49.254503, 1.653223,
49.259953, 1.650000,
49.265500, 1.654028,
49.271008, 1.650000,
49.276493, 1.654834,
49.281925, 1.650806,
49.287365, 1.650806,
49.292855, 1.654834,
49.298277, 1.654028,
49.303722, 1.654834,
49.309164, 1.654028,
49.314698, 1.650000,
49.320284, 1.652417,
49.325736, 1.654834,
49.331180, 1.654028,
49.336611, 1.654834,
49.342142, 1.645972,
49.347581, 1.652417,
49.353041, 1.650000,
